id_produto,nome_concorrente,preco_concorrente,data_coleta
PROD-0047,Mercado Livre,56.41,2024-01-15T22:08:15
PROD-0040,Magazine Luiza,274.07,2024-01-15T22:39:04
PROD-0068,Shopee,96.03,2024-01-16T09:15:55
PROD-0023,Shopee,318.41,2024-01-16T09:41:42
PROD-0075,Mercado Livre,206.86,2024-01-16T11:34:17
PROD-0058,Shopee,28.19,2024-01-16T14:23:29
PROD-0048,Magazine Luiza,288.97,2024-01-16T15:25:51
PROD-0012,Amazon,4915.15,2024-01-16T16:16:50
PROD-0058,Mercado Livre,22.48,2024-01-17T05:20:29
PROD-0016,Americanas,2349.12,2024-01-17T08:37:00
PROD-0057,Shopee,102.92,2024-01-17T10:04:28
PROD-0027,Mercado Livre,215.93,2024-01-17T10:06:50
PROD-0049,Amazon,121.29,2024-01-17T13:33:52
PROD-0004,Magazine Luiza,3239.94,2024-01-17T15:57:20
PROD-0019,Magazine Luiza,3715.48,2024-01-17T16:33:35
PROD-0004,Shopee,2689.01,2024-01-17T17:04:05
PROD-0046,Mercado Livre,643.98,2024-01-17T17:14:38
PROD-0012,Amazon,5061.4,2024-01-17T17:17:49
PROD-0066,Mercado Livre,267.52,2024-01-17T20:38:04
PROD-0079,Shopee,347.15,2024-01-17T21:32:21
PROD-0048,Americanas,287.38,2024-01-18T09:52:10
PROD-0040,Magazine Luiza,286.31,2024-01-18T10:08:34
PROD-0075,Magazine Luiza,247.6,2024-01-18T11:31:09
PROD-0034,Americanas,340.84,2024-01-18T11:38:12
PROD-0031,Magazine Luiza,642.3,2024-01-18T14:05:48
PROD-0036,Amazon,324.84,2024-01-18T14:06:05
PROD-0008,Magazine Luiza,1887.65,2024-01-18T16:30:49
PROD-0027,Americanas,170.07,2024-01-18T16:50:17
PROD-0066,Shopee,223.27,2024-01-18T17:05:35
PROD-0075,Shopee,304.76,2024-01-18T18:47:25
PROD-0072,Amazon,530.59,2024-01-18T19:55:35
PROD-0020,Mercado Livre,9046.02,2024-01-19T04:32:07
PROD-0015,Magazine Luiza,2759.07,2024-01-19T11:18:43
PROD-0019,Shopee,3703.43,2024-01-19T11:25:39
PROD-0069,Shopee,88.43,2024-01-19T12:21:55
PROD-0001,Amazon,2979.64,2024-01-19T19:02:22
PROD-0014,Magazine Luiza,4649.57,2024-01-20T06:32:43
PROD-0064,Magazine Luiza,223.3,2024-01-20T09:54:25
PROD-0070,Amazon,253.04,2024-01-20T14:12:45
PROD-0046,Mercado Livre,686.3,2024-01-20T14:55:53
PROD-0014,Amazon,5126.87,2024-01-20T15:35:26
PROD-0068,Amazon,107.87,2024-01-20T17:40:15
PROD-0004,Shopee,2634.45,2024-01-20T18:39:14
PROD-0073,Mercado Livre,481.73,2024-01-20T20:19:45
PROD-0043,Mercado Livre,667.14,2024-01-20T20:31:04
PROD-0023,Amazon,470.5,2024-01-21T06:25:00
PROD-0026,Amazon,132.78,2024-01-21T10:58:01
PROD-0004,Shopee,2648.36,2024-01-21T14:49:52
PROD-0068,Shopee,101.3,2024-01-21T16:24:58
PROD-0037,Magazine Luiza,1045.93,2024-01-21T16:33:43
PROD-0006,Amazon,433.54,2024-01-21T16:40:57
PROD-0072,Mercado Livre,409.57,2024-01-21T19:52:48
PROD-0031,Magazine Luiza,643.56,2024-01-21T23:52:10
PROD-0037,Mercado Livre,1246.61,2024-01-22T00:43:21
PROD-0010,Mercado Livre,3925.25,2024-01-22T09:12:55
PROD-0055,Shopee,41.14,2024-01-22T09:29:43
PROD-0001,Amazon,2923.4,2024-01-22T09:39:54
PROD-0048,Magazine Luiza,305.02,2024-01-22T10:46:25
PROD-0052,Amazon,43.49,2024-01-22T11:12:47
PROD-0066,Magazine Luiza,278.21,2024-01-22T15:03:59
PROD-0070,Amazon,260.5,2024-01-22T16:51:22
PROD-0059,Shopee,133.74,2024-01-22T18:34:12
PROD-0039,Shopee,867.12,2024-01-22T19:33:00
PROD-0036,Shopee,376.4,2024-01-22T20:26:46
PROD-0061,Shopee,80.07,2024-01-22T22:55:58
PROD-0039,Mercado Livre,947.72,2024-01-23T07:57:56
PROD-0022,Magazine Luiza,109.07,2024-01-23T10:10:35
PROD-0043,Magazine Luiza,553.47,2024-01-23T11:44:40
PROD-0040,Americanas,236.14,2024-01-23T12:47:07
PROD-0065,Americanas,110.16,2024-01-23T19:40:35
PROD-0076,Mercado Livre,461.06,2024-01-23T23:11:38
PROD-0066,Mercado Livre,287.67,2024-01-24T06:38:41
PROD-0051,Americanas,127.13,2024-01-24T06:50:49
PROD-0052,Americanas,42.89,2024-01-24T07:32:54
PROD-0059,Amazon,108.33,2024-01-24T14:15:03
PROD-0004,Shopee,2750.23,2024-01-24T15:26:47
PROD-0006,Shopee,598.8,2024-01-24T15:58:51
PROD-0057,Mercado Livre,122.82,2024-01-24T20:29:01
PROD-0069,Magazine Luiza,92.24,2024-01-24T20:31:48
PROD-0050,Magazine Luiza,485.09,2024-01-24T22:28:05
PROD-0039,Magazine Luiza,907.42,2024-01-25T02:41:10
PROD-0005,Americanas,4198.07,2024-01-25T02:58:22
PROD-0017,Americanas,3475.12,2024-01-25T07:10:08
PROD-0031,Americanas,511.66,2024-01-25T09:20:37
PROD-0012,Amazon,4843.47,2024-01-25T09:25:43
PROD-0073,Americanas,516.68,2024-01-25T10:41:01
PROD-0079,Shopee,340.25,2024-01-25T11:24:58
PROD-0062,Shopee,125.62,2024-01-25T14:23:41
PROD-0067,Magazine Luiza,255.49,2024-01-25T16:09:49
PROD-0018,Mercado Livre,6788.86,2024-01-25T16:10:12
PROD-0054,Mercado Livre,160.14,2024-01-25T16:29:50
PROD-0003,Magazine Luiza,2175.67,2024-01-25T16:43:28
PROD-0062,Americanas,128.08,2024-01-25T16:50:29
PROD-0001,Mercado Livre,2410.43,2024-01-25T18:01:48
PROD-0023,Shopee,322.9,2024-01-25T20:59:38
PROD-0075,Shopee,288.42,2024-01-26T14:34:07
PROD-0071,Amazon,40.61,2024-01-26T15:10:02
PROD-0046,Shopee,686.84,2024-01-26T21:27:29
PROD-0063,Mercado Livre,195.76,2024-01-26T21:59:17
PROD-0078,Mercado Livre,319.72,2024-01-26T23:59:22
PROD-0078,Magazine Luiza,295.53,2024-01-27T09:12:50
PROD-0023,Magazine Luiza,296.56,2024-01-27T10:18:25
PROD-0009,Americanas,3164.36,2024-01-27T16:38:59
PROD-0060,Shopee,129.63,2024-01-27T17:29:06
PROD-0024,Shopee,285.48,2024-01-28T08:24:59
PROD-0007,Americanas,5098.26,2024-01-28T08:43:20
PROD-0046,Mercado Livre,690.09,2024-01-28T11:40:15
PROD-0051,Mercado Livre,170.13,2024-01-28T14:09:25
PROD-0033,Amazon,381.45,2024-01-28T20:16:08
PROD-0052,Shopee,36.83,2024-01-28T22:33:26
PROD-0059,Shopee,130.67,2024-01-28T23:29:26
PROD-0074,Americanas,227.27,2024-01-29T08:58:47
PROD-0022,Americanas,95.25,2024-01-29T10:56:41
PROD-0063,Magazine Luiza,239.39,2024-01-29T10:58:29
PROD-0005,Mercado Livre,4054.07,2024-01-29T18:58:49
PROD-0058,Americanas,27.28,2024-01-29T19:55:53
PROD-0021,Amazon,406.65,2024-01-29T19:56:31
PROD-0036,Shopee,380.25,2024-01-29T20:28:44
PROD-0013,Magazine Luiza,4819.02,2024-01-29T22:36:38
PROD-0002,Magazine Luiza,4004.94,2024-01-30T01:18:44
PROD-0076,Amazon,467.37,2024-01-30T04:48:33
PROD-0044,Shopee,427.69,2024-01-30T09:10:29
PROD-0005,Americanas,4355.22,2024-01-30T09:35:42
PROD-0064,Amazon,197.42,2024-01-30T10:32:48
PROD-0022,Amazon,143.16,2024-01-30T11:55:50
PROD-0073,Shopee,344.44,2024-01-30T14:41:08
PROD-0042,Mercado Livre,738.61,2024-01-30T16:21:45
PROD-0048,Magazine Luiza,293.39,2024-01-30T16:39:30
PROD-0044,Amazon,343.18,2024-01-30T16:45:51
PROD-0080,Shopee,46.54,2024-01-30T18:06:21
PROD-0051,Magazine Luiza,175.88,2024-01-30T19:38:01
PROD-0078,Amazon,325.76,2024-01-31T10:05:32
PROD-0064,Americanas,173.36,2024-01-31T10:24:05
PROD-0014,Shopee,4796.95,2024-01-31T10:38:21
PROD-0018,Shopee,5171.66,2024-01-31T11:33:03
PROD-0027,Shopee,117.29,2024-01-31T13:26:41
PROD-0079,Mercado Livre,581.44,2024-01-31T17:26:09
PROD-0067,Mercado Livre,263.25,2024-01-31T18:20:25
PROD-0014,Magazine Luiza,4785.48,2024-01-31T20:08:42
PROD-0001,Americanas,2753.83,2024-02-01T09:48:53
PROD-0080,Mercado Livre,68.64,2024-02-01T09:51:47
PROD-0055,Amazon,41.95,2024-02-01T11:37:05
PROD-0009,Shopee,2999.12,2024-02-01T13:09:59
PROD-0034,Americanas,338.13,2024-02-01T13:49:18
PROD-0072,Shopee,355.4,2024-02-01T15:02:58
PROD-0030,Amazon,83.04,2024-02-01T19:21:40
PROD-0074,Mercado Livre,228.12,2024-02-02T08:16:14
PROD-0044,Amazon,337.59,2024-02-02T15:23:23
PROD-0002,Amazon,3408.92,2024-02-02T16:47:37
PROD-0024,Magazine Luiza,305.73,2024-02-02T19:58:16
PROD-0080,Americanas,75.84,2024-02-02T20:57:21
PROD-0035,Amazon,764.95,2024-02-03T06:11:29
PROD-0030,Magazine Luiza,56.39,2024-02-03T09:24:56
PROD-0004,Americanas,2544.5,2024-02-03T11:50:52
PROD-0063,Magazine Luiza,249.62,2024-02-03T12:41:27
PROD-0041,Americanas,250.51,2024-02-03T14:45:02
PROD-0044,Shopee,441.22,2024-02-03T15:36:52
PROD-0040,Magazine Luiza,260.75,2024-02-03T18:04:47
PROD-0024,Shopee,262.63,2024-02-03T18:43:48
PROD-0014,Mercado Livre,4657.63,2024-02-03T21:59:14
PROD-0075,Amazon,317.51,2024-02-04T00:30:55
PROD-0040,Americanas,235.9,2024-02-04T09:23:52
PROD-0072,Amazon,517.78,2024-02-04T09:46:13
PROD-0005,Magazine Luiza,3537.93,2024-02-04T10:32:19
PROD-0055,Mercado Livre,43.22,2024-02-04T11:03:17
PROD-0030,Shopee,52.26,2024-02-04T11:47:55
PROD-0074,Americanas,230.72,2024-02-04T12:57:11
PROD-0065,Americanas,113.87,2024-02-04T14:45:21
PROD-0045,Magazine Luiza,328.79,2024-02-04T15:54:52
PROD-0008,Shopee,1760.2,2024-02-04T19:14:58
PROD-0043,Amazon,636.59,2024-02-05T01:35:12
PROD-0015,Mercado Livre,2749.61,2024-02-05T01:53:01
PROD-0078,Mercado Livre,312.54,2024-02-05T09:54:00
PROD-0047,Magazine Luiza,57.27,2024-02-05T12:36:47
PROD-0064,Americanas,175.75,2024-02-05T13:58:46
PROD-0060,Amazon,116.31,2024-02-05T19:19:32
PROD-0045,Shopee,366.75,2024-02-06T00:12:45
PROD-0048,Mercado Livre,272.07,2024-02-06T07:17:40
PROD-0002,Mercado Livre,5500.59,2024-02-06T08:57:38
PROD-0054,Mercado Livre,167.63,2024-02-06T09:17:20
PROD-0054,Amazon,176.12,2024-02-06T09:33:38
PROD-0012,Shopee,6844.32,2024-02-06T09:42:14
PROD-0012,Americanas,4588.32,2024-02-06T10:39:12
PROD-0006,Americanas,444.41,2024-02-06T14:15:07
PROD-0011,Americanas,4840.63,2024-02-06T16:03:28
PROD-0053,Americanas,140.81,2024-02-06T16:18:27
PROD-0048,Americanas,287.02,2024-02-06T21:43:08
PROD-0003,Magazine Luiza,2162.05,2024-02-07T09:01:51
PROD-0062,Magazine Luiza,86.14,2024-02-07T09:31:50
PROD-0054,Americanas,171.51,2024-02-07T09:44:19
PROD-0073,Amazon,337.78,2024-02-07T11:25:52
PROD-0021,Magazine Luiza,388.4,2024-02-07T14:44:27
PROD-0017,Magazine Luiza,3726.65,2024-02-07T15:59:38
PROD-0053,Mercado Livre,170.26,2024-02-07T18:42:01
PROD-0035,Mercado Livre,891.97,2024-02-07T21:06:48
PROD-0049,Americanas,150.3,2024-02-08T00:16:56
PROD-0021,Amazon,410.87,2024-02-08T05:11:42
PROD-0035,Shopee,603.0,2024-02-08T05:22:05
PROD-0011,Mercado Livre,4153.72,2024-02-08T09:18:58
PROD-0072,Mercado Livre,401.44,2024-02-08T11:02:14
PROD-0065,Mercado Livre,145.59,2024-02-08T12:44:48
PROD-0058,Amazon,30.01,2024-02-08T19:21:53
PROD-0057,Shopee,105.64,2024-02-08T20:03:05
PROD-0068,Amazon,111.32,2024-02-08T20:25:44
PROD-0073,Americanas,476.33,2024-02-08T21:03:35
PROD-0046,Americanas,433.38,2024-02-09T09:27:57
PROD-0006,Amazon,405.75,2024-02-09T09:53:24
PROD-0030,Shopee,52.43,2024-02-09T12:06:01
PROD-0066,Magazine Luiza,283.11,2024-02-09T14:02:17
PROD-0029,Amazon,486.58,2024-02-09T14:13:31
PROD-0023,Mercado Livre,425.74,2024-02-09T16:32:40
PROD-0057,Americanas,130.19,2024-02-09T18:13:00
PROD-0015,Magazine Luiza,2881.22,2024-02-09T19:40:53
PROD-0004,Magazine Luiza,3364.81,2024-02-09T21:47:05
PROD-0004,Magazine Luiza,3305.43,2024-02-09T22:01:56
PROD-0055,Amazon,39.76,2024-02-09T23:43:00
PROD-0055,Americanas,48.77,2024-02-10T06:12:25
PROD-0075,Magazine Luiza,232.72,2024-02-10T09:41:31
PROD-0054,Magazine Luiza,172.23,2024-02-10T09:46:26
PROD-0075,Amazon,323.4,2024-02-10T10:04:52
PROD-0045,Amazon,438.6,2024-02-10T11:39:52
PROD-0048,Mercado Livre,268.7,2024-02-10T16:31:26
PROD-0079,Mercado Livre,597.61,2024-02-10T18:28:17
PROD-0029,Shopee,637.17,2024-02-10T19:34:03
PROD-0034,Amazon,307.05,2024-02-10T20:21:36
PROD-0037,Shopee,795.91,2024-02-10T23:04:45
PROD-0013,Mercado Livre,3830.87,2024-02-11T12:59:51
PROD-0060,Magazine Luiza,168.0,2024-02-11T14:24:23
PROD-0068,Amazon,114.32,2024-02-11T15:48:55
PROD-0048,Amazon,285.1,2024-02-11T16:19:52
PROD-0014,Magazine Luiza,4813.91,2024-02-11T16:55:40
PROD-0076,Mercado Livre,478.96,2024-02-11T17:20:31
PROD-0001,Magazine Luiza,3741.32,2024-02-11T17:28:05
PROD-0069,Shopee,85.04,2024-02-11T19:57:41
PROD-0062,Amazon,122.07,2024-02-11T20:06:12
PROD-0053,Americanas,138.74,2024-02-11T20:31:30
PROD-0031,Magazine Luiza,669.81,2024-02-12T10:25:46
PROD-0064,Magazine Luiza,216.35,2024-02-12T11:12:11
PROD-0020,Americanas,10384.83,2024-02-12T11:16:06
PROD-0076,Mercado Livre,437.95,2024-02-12T12:20:49
PROD-0052,Shopee,34.98,2024-02-12T14:12:55
PROD-0003,Americanas,1485.21,2024-02-12T15:22:42
PROD-0045,Americanas,348.49,2024-02-12T19:01:06
PROD-0010,Amazon,4523.81,2024-02-13T06:44:28
PROD-0036,Mercado Livre,334.88,2024-02-13T13:56:07
PROD-0008,Amazon,1740.16,2024-02-13T15:30:44
PROD-0080,Americanas,75.37,2024-02-13T17:16:06
PROD-0003,Mercado Livre,1336.06,2024-02-13T18:55:14
PROD-0063,Amazon,252.59,2024-02-14T06:13:33
PROD-0067,Americanas,199.76,2024-02-14T07:11:28
PROD-0006,Shopee,605.91,2024-02-14T08:00:44
PROD-0076,Americanas,291.6,2024-02-14T11:59:45
PROD-0023,Mercado Livre,418.88,2024-02-14T12:27:34
PROD-0074,Mercado Livre,238.66,2024-02-14T16:06:20
PROD-0033,Americanas,311.55,2024-02-14T16:23:01
PROD-0051,Amazon,171.13,2024-02-14T17:59:12
PROD-0019,Shopee,3933.09,2024-02-14T20:31:36
PROD-0014,Shopee,4662.87,2024-02-15T10:21:52
PROD-0034,Mercado Livre,342.43,2024-02-15T10:54:40
PROD-0065,Americanas,108.66,2024-02-15T11:54:39
PROD-0065,Amazon,112.05,2024-02-15T14:23:44
PROD-0022,Amazon,147.86,2024-02-15T14:29:01
PROD-0019,Mercado Livre,4052.97,2024-02-15T16:25:31
PROD-0048,Amazon,295.25,2024-02-15T16:42:19
PROD-0043,Mercado Livre,695.75,2024-02-15T17:32:18
PROD-0027,Magazine Luiza,129.43,2024-02-15T18:11:36
PROD-0053,Shopee,132.57,2024-02-15T18:14:27
PROD-0045,Magazine Luiza,314.74,2024-02-15T19:45:23
PROD-0011,Americanas,5048.08,2024-02-16T06:45:12
PROD-0020,Magazine Luiza,6016.43,2024-02-16T10:21:01
PROD-0003,Amazon,2051.38,2024-02-16T11:00:35
PROD-0077,Mercado Livre,198.81,2024-02-16T12:33:22
PROD-0066,Mercado Livre,262.23,2024-02-16T15:37:01
PROD-0001,Mercado Livre,2525.51,2024-02-16T18:47:32
PROD-0055,Americanas,45.46,2024-02-17T05:06:36
PROD-0037,Shopee,820.05,2024-02-17T06:21:45
PROD-0079,Americanas,393.45,2024-02-17T11:05:14
PROD-0072,Mercado Livre,410.2,2024-02-17T12:24:59
PROD-0074,Mercado Livre,239.15,2024-02-17T14:13:02
PROD-0015,Amazon,2602.39,2024-02-17T14:31:44
PROD-0023,Mercado Livre,433.12,2024-02-17T17:16:23
PROD-0026,Magazine Luiza,167.11,2024-02-17T17:31:17
PROD-0009,Amazon,3856.83,2024-02-17T17:46:58
PROD-0034,Amazon,283.83,2024-02-17T18:34:36
PROD-0071,Shopee,26.48,2024-02-18T11:01:47
PROD-0061,Americanas,56.77,2024-02-18T14:04:27
PROD-0045,Amazon,438.58,2024-02-18T15:56:10
PROD-0078,Shopee,323.66,2024-02-18T16:51:37
PROD-0028,Amazon,387.54,2024-02-18T17:22:38
PROD-0068,Amazon,108.35,2024-02-18T20:15:02
PROD-0001,Amazon,3098.37,2024-02-18T20:30:15
PROD-0031,Mercado Livre,517.08,2024-02-18T21:39:26
PROD-0041,Magazine Luiza,206.68,2024-02-19T10:01:36
PROD-0018,Americanas,6616.63,2024-02-19T15:19:13
PROD-0074,Magazine Luiza,166.32,2024-02-19T16:32:36
PROD-0047,Mercado Livre,58.71,2024-02-19T17:45:29
PROD-0007,Mercado Livre,4185.11,2024-02-19T17:51:27
PROD-0006,Mercado Livre,399.42,2024-02-19T19:24:04
PROD-0001,Americanas,2835.72,2024-02-19T20:20:24
PROD-0036,Shopee,374.19,2024-02-20T06:28:42
PROD-0034,Shopee,317.59,2024-02-20T06:35:12
PROD-0044,Mercado Livre,316.18,2024-02-20T11:37:35
PROD-0064,Mercado Livre,235.48,2024-02-20T19:23:19
PROD-0014,Shopee,4647.8,2024-02-21T05:10:41
PROD-0035,Amazon,726.46,2024-02-21T08:27:49
PROD-0052,Mercado Livre,31.24,2024-02-21T09:02:38
PROD-0067,Shopee,208.89,2024-02-21T10:43:11
PROD-0040,Amazon,299.18,2024-02-21T16:07:30
PROD-0073,Shopee,325.59,2024-02-21T16:15:11
PROD-0062,Mercado Livre,88.11,2024-02-21T16:54:39
PROD-0008,Americanas,1838.78,2024-02-21T17:04:35
PROD-0076,Mercado Livre,456.57,2024-02-21T18:47:08
PROD-0020,Mercado Livre,8449.41,2024-02-21T19:33:18
PROD-0053,Magazine Luiza,115.37,2024-02-21T23:19:22
PROD-0065,Americanas,113.12,2024-02-22T08:19:23
PROD-0043,Mercado Livre,706.27,2024-02-22T15:04:26
PROD-0026,Magazine Luiza,168.86,2024-02-22T19:39:35
PROD-0041,Magazine Luiza,188.65,2024-02-22T20:15:16
PROD-0071,Shopee,26.95,2024-02-22T20:39:51
PROD-0072,Americanas,501.09,2024-02-22T20:45:19
PROD-0066,Mercado Livre,265.15,2024-02-22T21:30:25
PROD-0056,Shopee,19.28,2024-02-22T21:37:06
PROD-0048,Americanas,295.37,2024-02-23T02:29:19
PROD-0007,Magazine Luiza,2914.62,2024-02-23T04:54:27
PROD-0025,Magazine Luiza,192.18,2024-02-23T06:06:58
PROD-0079,Americanas,408.22,2024-02-23T06:34:56
PROD-0061,Amazon,59.86,2024-02-23T08:24:05
PROD-0052,Mercado Livre,31.43,2024-02-23T11:16:46
PROD-0024,Magazine Luiza,303.36,2024-02-23T13:39:57
PROD-0080,Shopee,47.18,2024-02-23T15:16:03
PROD-0033,Amazon,380.9,2024-02-23T16:02:26
PROD-0072,Amazon,501.85,2024-02-23T16:58:23
PROD-0076,Magazine Luiza,509.92,2024-02-23T18:34:32
PROD-0068,Amazon,115.28,2024-02-23T18:43:51
