id_venda,data_venda,id_cliente,id_produto,canal_venda,quantidade,preco_unitario
VND-0001884,2024-01-01T15:52:59,CLI-00005,PROD-0075,App Mobile,2,229.94
VND-0002505,2024-01-01T16:08:26,CLI-00059,PROD-0037,Marketplace,4,1013.48
VND-0011090,2024-01-01T16:22:02,CLI-00276,PROD-0064,Organico,1,254.88
VND-0008604,2024-01-01T16:50:49,CLI-00073,PROD-0068,App Mobile,1,94.01
VND-0011824,2024-01-01T16:52:56,CLI-00028,PROD-0050,Midia Paga,2,398.83
VND-0012515,2024-01-01T17:11:44,CLI-00093,PROD-0015,App Mobile,2,2497.8
VND-0010368,2024-01-01T17:25:20,CLI-00248,PROD-0001,App Mobile,2,3137.37
VND-0011397,2024-01-01T17:56:02,CLI-00418,PROD-0047,App Mobile,1,77.45
VND-0013370,2024-01-01T18:38:24,CLI-00082,PROD-0010,App Mobile,1,3788.79
VND-0012828,2024-01-01T19:09:21,CLI-00118,PROD-0073,Marketplace,4,429.19
VND-0007105,2024-01-01T20:16:52,CLI-00047,PROD-0053,App Mobile,1,136.78
VND-0005338,2024-01-01T21:32:19,CLI-00281,PROD-0010,App Mobile,1,3958.09
VND-0011730,2024-01-01T22:28:08,CLI-00052,PROD-0010,Midia Paga,1,4207.43
VND-0011062,2024-01-01T23:33:23,CLI-00061,PROD-0035,App Mobile,2,695.09
VND-0012941,2024-01-02T00:04:40,CLI-00084,PROD-0074,Midia Paga,1,210.84
VND-0013864,2024-01-02T01:29:57,CLI-00008,PROD-0046,Midia Paga,1,653.66
VND-0012213,2024-01-02T03:23:57,CLI-00016,PROD-0019,Site,1,4297.35
VND-0006293,2024-01-02T03:55:31,CLI-00053,PROD-0014,Site,1,4620.69
VND-0007690,2024-01-02T04:36:39,CLI-00197,PROD-0008,Midia Paga,1,1710.67
VND-0004084,2024-01-02T06:45:57,CLI-00005,PROD-0020,Midia Paga,1,8412.14
VND-0014641,2024-01-02T07:16:10,CLI-00223,PROD-0011,Midia Paga,1,4323.88
VND-0005944,2024-01-02T07:28:10,CLI-00021,PROD-0066,Midia Paga,1,225.25
VND-0006193,2024-01-02T09:06:24,CLI-00014,PROD-0077,App Mobile,1,182.78
VND-0011302,2024-01-02T09:12:54,CLI-00023,PROD-0072,App Mobile,1,520.23
VND-0004755,2024-01-02T09:58:11,CLI-00043,PROD-0042,Redes Sociais,2,687.32
VND-0014865,2024-01-02T10:02:38,CLI-00203,PROD-0012,App Mobile,1,6432.47
VND-0011360,2024-01-02T10:12:09,CLI-00075,PROD-0040,Marketplace,1,245.13
VND-0010200,2024-01-02T10:33:07,CLI-00494,PROD-0025,Midia Paga,1,169.87
VND-0008268,2024-01-02T12:04:16,CLI-00031,PROD-0018,App Mobile,2,5964.68
VND-0004077,2024-01-02T13:30:08,CLI-00281,PROD-0038,App Mobile,1,81.9
VND-0013376,2024-01-02T14:27:23,CLI-00074,PROD-0016,Midia Paga,1,3412.14
VND-0000821,2024-01-02T14:27:41,CLI-00415,PROD-0033,Organico,2,394.14
VND-0001013,2024-01-02T14:47:40,CLI-00249,PROD-0039,App Mobile,1,1045.55
VND-0012854,2024-01-02T15:08:41,CLI-00070,PROD-0035,Midia Paga,1,750.42
VND-0002708,2024-01-02T16:36:11,CLI-00089,PROD-0078,Site,1,412.29
VND-0006483,2024-01-02T16:53:49,CLI-00135,PROD-0075,App Mobile,1,301.69
VND-0008614,2024-01-02T17:31:06,CLI-00137,PROD-0050,App Mobile,1,461.25
VND-0013991,2024-01-02T17:40:22,CLI-00080,PROD-0021,Site,1,358.6
VND-0005116,2024-01-02T18:24:40,CLI-00043,PROD-0029,WhatsApp,2,650.52
VND-0004715,2024-01-02T18:52:35,CLI-00084,PROD-0009,WhatsApp,2,3356.42
VND-0002030,2024-01-02T18:56:39,CLI-00406,PROD-0016,Organico,2,3623.0
VND-0002974,2024-01-02T19:23:16,CLI-00079,PROD-0044,Midia Paga,1,432.15
VND-0003459,2024-01-02T19:51:19,CLI-00009,PROD-0071,App Mobile,1,31.89
VND-0012380,2024-01-02T21:30:54,CLI-00397,PROD-0034,Email Marketing,2,350.1
VND-0006804,2024-01-02T22:02:17,CLI-00032,PROD-0050,Organico,1,365.98
VND-0002060,2024-01-02T22:57:22,CLI-00488,PROD-0003,Redes Sociais,1,1954.2
VND-0002977,2024-01-03T00:24:40,CLI-00339,PROD-0069,Midia Paga,4,93.49
VND-0010329,2024-01-03T00:40:08,CLI-00487,PROD-0072,Redes Sociais,2,470.3
VND-0009906,2024-01-03T01:27:18,CLI-00384,PROD-0072,Midia Paga,1,525.11
VND-0012438,2024-01-03T02:53:38,CLI-00437,PROD-0025,App Mobile,1,164.81
VND-0007984,2024-01-03T03:05:42,CLI-00043,PROD-0034,Loja Física,5,424.1
VND-0007545,2024-01-03T03:48:39,CLI-00006,PROD-0055,Redes Sociais,2,37.62
VND-0013103,2024-01-03T07:28:07,CLI-00424,PROD-0064,Midia Paga,1,234.01
VND-0011029,2024-01-03T07:52:03,CLI-00111,PROD-0014,App Mobile,2,4035.76
VND-0011811,2024-01-03T08:12:37,CLI-00137,PROD-0068,Midia Paga,2,83.7
VND-0003313,2024-01-03T09:00:40,CLI-00006,PROD-0066,Loja Física,4,246.32
VND-0006505,2024-01-03T09:08:58,CLI-00450,PROD-0037,Site,1,1106.71
VND-0010228,2024-01-03T09:10:09,CLI-00018,PROD-0049,App Mobile,1,175.61
VND-0013486,2024-01-03T09:14:20,CLI-00218,PROD-0003,App Mobile,2,1878.06
VND-0011442,2024-01-03T09:32:15,CLI-00435,PROD-0007,Midia Paga,1,4164.0
VND-0005044,2024-01-03T10:43:36,CLI-00453,PROD-0072,Email Marketing,1,427.33
VND-0007772,2024-01-03T11:02:34,CLI-00361,PROD-0061,App Mobile,1,55.25
VND-0002142,2024-01-03T11:20:21,CLI-00015,PROD-0042,App Mobile,1,816.23
VND-0002872,2024-01-03T11:34:14,CLI-00057,PROD-0056,Organico,1,29.9
VND-0008632,2024-01-03T11:59:25,CLI-00022,PROD-0012,App Mobile,5,5423.7
VND-0007160,2024-01-03T12:05:22,CLI-00150,PROD-0041,App Mobile,1,187.7
VND-0000772,2024-01-03T12:29:21,CLI-00084,PROD-0016,Site,5,3134.39
VND-0003501,2024-01-03T12:59:32,CLI-00004,PROD-0059,Midia Paga,2,114.33
VND-0014959,2024-01-03T13:02:43,CLI-00060,PROD-0066,Site,2,239.56
VND-0000567,2024-01-03T13:26:02,CLI-00029,PROD-0076,Organico,2,480.05
VND-0008935,2024-01-03T13:45:25,CLI-00132,PROD-0065,Midia Paga,1,162.89
VND-0012685,2024-01-03T13:47:42,CLI-00005,PROD-0042,Midia Paga,1,840.83
VND-0007042,2024-01-03T14:20:39,CLI-00044,PROD-0009,Site,1,2875.81
VND-0011734,2024-01-03T14:31:36,CLI-00132,PROD-0035,Midia Paga,1,636.05
VND-0013296,2024-01-03T14:33:06,CLI-00213,PROD-0009,Site,1,3754.67
VND-0000180,2024-01-03T15:02:34,CLI-00055,PROD-0052,Midia Paga,1,45.18
VND-0005223,2024-01-03T15:07:08,CLI-00073,PROD-0011,App Mobile,1,4533.43
VND-0004215,2024-01-03T15:07:58,CLI-00058,PROD-0038,App Mobile,1,92.12
VND-0006675,2024-01-03T15:32:09,CLI-00001,PROD-0015,Site,3,2136.31
VND-0005063,2024-01-03T15:37:35,CLI-00051,PROD-0028,App Mobile,1,495.59
VND-0011493,2024-01-03T16:21:39,CLI-00168,PROD-0016,App Mobile,1,2764.01
VND-0012607,2024-01-03T16:58:44,CLI-00048,PROD-0053,WhatsApp,1,147.77
VND-0003636,2024-01-03T17:02:48,CLI-00059,PROD-0016,Midia Paga,1,3472.3
VND-0013639,2024-01-03T17:06:16,CLI-00019,PROD-0069,Site,2,117.0
VND-0004307,2024-01-03T18:53:36,CLI-00080,PROD-0022,Midia Paga,4,109.3
VND-0014513,2024-01-03T19:41:16,CLI-00028,PROD-0041,App Mobile,3,176.26
VND-0002405,2024-01-03T19:43:23,CLI-00068,PROD-0016,Organico,1,3204.6
VND-0003032,2024-01-03T20:44:53,CLI-00029,PROD-0041,Email Marketing,1,230.3
VND-0003389,2024-01-03T21:11:09,CLI-00039,PROD-0056,Site,5,29.03
VND-0007040,2024-01-03T22:20:07,CLI-00046,PROD-0042,Midia Paga,1,774.0
VND-0002336,2024-01-03T22:48:57,CLI-00295,PROD-0002,App Mobile,1,4059.18
VND-0005460,2024-01-03T23:55:37,CLI-00265,PROD-0077,App Mobile,1,186.21
VND-0011862,2024-01-04T00:08:07,CLI-00191,PROD-0024,App Mobile,3,371.48
VND-0001529,2024-01-04T02:24:51,CLI-00033,PROD-0066,Midia Paga,4,221.3
VND-0012863,2024-01-04T02:36:01,CLI-00033,PROD-0055,App Mobile,1,40.81
VND-0001462,2024-01-04T02:47:02,CLI-00182,PROD-0032,Redes Sociais,5,936.51
VND-0014343,2024-01-04T02:51:52,CLI-00027,PROD-0052,Organico,1,44.69
VND-0001015,2024-01-04T04:39:29,CLI-00060,PROD-0080,App Mobile,2,72.57
VND-0001924,2024-01-04T06:20:55,CLI-00003,PROD-0048,Midia Paga,1,248.82
VND-0013741,2024-01-04T07:33:37,CLI-00322,PROD-0026,Midia Paga,1,146.87
VND-0003133,2024-01-04T09:03:24,CLI-00023,PROD-0033,App Mobile,4,370.53
VND-0000277,2024-01-04T09:32:56,CLI-00045,PROD-0063,Organico,1,222.22
VND-0008254,2024-01-04T10:02:18,CLI-00017,PROD-0009,Email Marketing,2,2916.75
VND-0002270,2024-01-04T10:03:01,CLI-00042,PROD-0048,Midia Paga,2,245.3
VND-0006240,2024-01-04T10:10:43,CLI-00093,PROD-0012,Midia Paga,3,6015.43
VND-0014903,2024-01-04T10:11:44,CLI-00313,PROD-0041,Organico,1,216.05
VND-0007484,2024-01-04T10:24:42,CLI-00033,PROD-0044,App Mobile,2,335.58
VND-0012793,2024-01-04T10:36:46,CLI-00310,PROD-0031,App Mobile,1,727.97
VND-0006477,2024-01-04T10:44:15,CLI-00016,PROD-0068,Midia Paga,1,99.38
VND-0003322,2024-01-04T10:50:59,CLI-00083,PROD-0068,Email Marketing,1,94.51
VND-0010117,2024-01-04T11:01:27,CLI-00222,PROD-0002,Email Marketing,1,3899.68
VND-0014000,2024-01-04T11:01:31,CLI-00006,PROD-0059,Midia Paga,2,102.95
VND-0003054,2024-01-04T11:30:30,CLI-00041,PROD-0029,Midia Paga,1,609.72
VND-0013090,2024-01-04T11:36:10,CLI-00073,PROD-0017,Site,2,3222.66
VND-0004955,2024-01-04T11:47:20,CLI-00284,PROD-0062,Loja Física,2,111.07
VND-0001226,2024-01-04T12:51:31,CLI-00087,PROD-0020,Midia Paga,1,7366.41
VND-0005311,2024-01-04T12:52:40,CLI-00427,PROD-0018,Midia Paga,1,5176.13
VND-0007639,2024-01-04T13:03:16,CLI-00094,PROD-0078,App Mobile,3,364.55
VND-0003088,2024-01-04T13:51:41,CLI-00343,PROD-0012,App Mobile,1,5943.32
VND-0010067,2024-01-04T14:02:55,CLI-00086,PROD-0066,App Mobile,1,222.1
VND-0009162,2024-01-04T14:12:31,CLI-00017,PROD-0044,App Mobile,4,407.25
VND-0014102,2024-01-04T14:34:31,CLI-00495,PROD-0011,Midia Paga,2,4108.2
VND-0014150,2024-01-04T14:40:19,CLI-00057,PROD-0056,Redes Sociais,1,22.53
VND-0006116,2024-01-04T15:02:14,CLI-00090,PROD-0042,App Mobile,1,779.45
VND-0008473,2024-01-04T15:14:38,CLI-00003,PROD-0007,Marketplace,1,4132.56
VND-0013992,2024-01-04T16:56:38,CLI-00366,PROD-0054,Midia Paga,1,161.53
VND-0002907,2024-01-04T17:19:49,CLI-00459,PROD-0070,Site,2,221.58
VND-0006194,2024-01-04T17:25:47,CLI-00154,PROD-0077,Email Marketing,1,214.86
VND-0000292,2024-01-04T17:36:33,CLI-00310,PROD-0033,Marketplace,1,338.99
VND-0004325,2024-01-04T17:54:05,CLI-00053,PROD-0055,App Mobile,1,36.22
VND-0009099,2024-01-04T18:36:17,CLI-00389,PROD-0043,Organico,1,641.91
VND-0001008,2024-01-04T18:45:27,CLI-00308,PROD-0002,Organico,1,4465.04
VND-0013771,2024-01-04T19:00:56,CLI-00296,PROD-0048,App Mobile,1,231.75
VND-0008264,2024-01-04T20:43:28,CLI-00003,PROD-0006,App Mobile,2,461.27
VND-0002140,2024-01-04T20:56:02,CLI-00011,PROD-0055,App Mobile,4,48.33
VND-0010797,2024-01-05T03:27:45,CLI-00441,PROD-0046,Site,1,678.85
VND-0002186,2024-01-05T03:36:42,CLI-00421,PROD-0068,Midia Paga,1,82.05
VND-0013821,2024-01-05T04:27:36,CLI-00298,PROD-0058,App Mobile,1,28.99
VND-0011443,2024-01-05T04:27:36,CLI-00367,PROD-0068,Email Marketing,1,104.44
VND-0010091,2024-01-05T06:12:29,CLI-00500,PROD-0058,App Mobile,1,28.03
VND-0014753,2024-01-05T07:35:43,CLI-00009,PROD-0047,Site,1,77.51
VND-0004363,2024-01-05T07:53:48,CLI-00108,PROD-0025,Marketplace,2,178.8
VND-0014055,2024-01-05T08:36:47,CLI-00303,PROD-0023,Redes Sociais,1,327.29
VND-0003097,2024-01-05T08:51:43,CLI-00410,PROD-0076,Organico,2,426.58
VND-0003341,2024-01-05T09:34:18,CLI-00064,PROD-0024,Organico,1,348.99
VND-0006325,2024-01-05T10:33:49,CLI-00065,PROD-0078,Midia Paga,1,455.6
VND-0014269,2024-01-05T10:36:27,CLI-00228,PROD-0038,Midia Paga,2,85.72
VND-0011453,2024-01-05T10:46:49,CLI-00072,PROD-0012,Loja Física,1,5709.89
VND-0011318,2024-01-05T11:20:14,CLI-00327,PROD-0031,Organico,1,689.52
VND-0002368,2024-01-05T13:38:02,CLI-00047,PROD-0051,Site,1,130.91
VND-0011188,2024-01-05T14:17:12,CLI-00057,PROD-0014,App Mobile,1,4407.72
VND-0004968,2024-01-05T14:32:42,CLI-00347,PROD-0051,Midia Paga,2,125.99
VND-0008531,2024-01-05T14:41:35,CLI-00003,PROD-0058,App Mobile,1,24.75
VND-0000058,2024-01-05T15:00:44,CLI-00017,PROD-0076,Site,1,388.59
VND-0007746,2024-01-05T15:00:49,CLI-00050,PROD-0043,App Mobile,1,661.62
VND-0005138,2024-01-05T15:06:06,CLI-00010,PROD-0035,Midia Paga,1,670.86
VND-0001404,2024-01-05T15:10:26,CLI-00266,PROD-0014,WhatsApp,1,4640.46
VND-0008761,2024-01-05T15:33:33,CLI-00065,PROD-0047,Organico,1,81.31
VND-0010007,2024-01-05T16:12:22,CLI-00047,PROD-0019,App Mobile,1,4946.75
VND-0009744,2024-01-05T16:16:55,CLI-00075,PROD-0058,WhatsApp,1,26.84
VND-0010383,2024-01-05T16:26:26,CLI-00175,PROD-0021,Midia Paga,1,364.5
VND-0013097,2024-01-05T16:52:39,CLI-00015,PROD-0023,Marketplace,4,372.92
VND-0009510,2024-01-05T17:28:39,CLI-00073,PROD-0008,App Mobile,2,1619.44
VND-0003559,2024-01-05T17:29:07,CLI-00090,PROD-0013,Redes Sociais,1,5153.03
VND-0013593,2024-01-05T17:32:04,CLI-00053,PROD-0030,Loja Física,2,69.02
VND-0012832,2024-01-05T18:19:57,CLI-00284,PROD-0018,App Mobile,1,5362.04
VND-0011347,2024-01-05T18:27:13,CLI-00054,PROD-0050,Email Marketing,1,479.9
VND-0011677,2024-01-05T18:47:47,CLI-00280,PROD-0019,App Mobile,1,4165.11
VND-0000408,2024-01-05T19:04:24,CLI-00090,PROD-0080,Midia Paga,1,61.19
VND-0002828,2024-01-05T19:13:12,CLI-00175,PROD-0050,Midia Paga,1,365.7
VND-0000346,2024-01-05T19:49:27,CLI-00002,PROD-0063,Midia Paga,2,231.67
VND-0012022,2024-01-05T20:17:48,CLI-00012,PROD-0020,Marketplace,1,6941.95
VND-0013156,2024-01-05T20:40:00,CLI-00005,PROD-0040,App Mobile,1,299.7
VND-0008449,2024-01-05T20:40:34,CLI-00275,PROD-0008,Organico,1,1745.55
VND-0008239,2024-01-05T21:29:35,CLI-00236,PROD-0074,Marketplace,1,183.51
VND-0014257,2024-01-05T21:41:47,CLI-00191,PROD-0031,Redes Sociais,1,701.4
VND-0006657,2024-01-05T21:50:45,CLI-00090,PROD-0052,Midia Paga,1,48.14
VND-0004204,2024-01-05T21:56:48,CLI-00434,PROD-0036,WhatsApp,1,324.34
VND-0013902,2024-01-05T22:57:27,CLI-00099,PROD-0015,App Mobile,1,2721.62
VND-0001667,2024-01-05T22:58:55,CLI-00447,PROD-0013,App Mobile,1,5162.18
VND-0000393,2024-01-06T07:40:49,CLI-00099,PROD-0030,WhatsApp,2,69.56
VND-0013835,2024-01-06T08:09:37,CLI-00387,PROD-0013,Site,1,5161.04
VND-0014053,2024-01-06T08:40:12,CLI-00087,PROD-0058,Loja Física,2,26.4
VND-0002570,2024-01-06T08:55:23,CLI-00107,PROD-0035,Loja Física,1,676.37
VND-0005975,2024-01-06T09:00:24,CLI-00135,PROD-0055,Site,2,42.75
VND-0014763,2024-01-06T09:03:38,CLI-00085,PROD-0052,App Mobile,2,42.9
VND-0006340,2024-01-06T09:12:09,CLI-00301,PROD-0027,App Mobile,1,177.75
VND-0005379,2024-01-06T09:13:39,CLI-00079,PROD-0066,Site,1,230.17
VND-0011601,2024-01-06T09:51:36,CLI-00106,PROD-0007,Site,2,4090.74
VND-0001150,2024-01-06T09:57:11,CLI-00425,PROD-0058,App Mobile,1,28.22
VND-0000019,2024-01-06T10:06:16,CLI-00097,PROD-0043,Midia Paga,1,838.26
VND-0008649,2024-01-06T10:18:58,CLI-00059,PROD-0045,App Mobile,1,417.07
VND-0003921,2024-01-06T10:40:04,CLI-00269,PROD-0054,Marketplace,1,146.22
VND-0007858,2024-01-06T11:32:38,CLI-00500,PROD-0051,App Mobile,1,166.1
VND-0013523,2024-01-06T11:40:29,CLI-00033,PROD-0033,WhatsApp,1,399.98
VND-0005262,2024-01-06T11:48:58,CLI-00382,PROD-0071,App Mobile,2,28.55
VND-0014458,2024-01-06T12:11:21,CLI-00030,PROD-0025,App Mobile,1,167.33
VND-0012898,2024-01-06T12:32:11,CLI-00206,PROD-0023,Site,1,367.17
VND-0010210,2024-01-06T13:18:30,CLI-00096,PROD-0052,Marketplace,1,46.14
VND-0008101,2024-01-06T13:43:01,CLI-00070,PROD-0017,Midia Paga,1,2952.2
VND-0000845,2024-01-06T14:04:22,CLI-00052,PROD-0024,App Mobile,1,404.6
VND-0013508,2024-01-06T14:11:22,CLI-00183,PROD-0022,Organico,2,101.96
VND-0002234,2024-01-06T14:34:11,CLI-00393,PROD-0057,Midia Paga,1,119.56
VND-0000761,2024-01-06T14:45:51,CLI-00365,PROD-0047,Midia Paga,4,84.69
VND-0008028,2024-01-06T14:52:26,CLI-00499,PROD-0015,Midia Paga,1,2763.64
VND-0005703,2024-01-06T15:00:53,CLI-00004,PROD-0071,Organico,1,28.29
VND-0012430,2024-01-06T15:04:11,CLI-00084,PROD-0012,App Mobile,1,6010.08
VND-0001748,2024-01-06T15:17:59,CLI-00014,PROD-0001,Site,2,3238.23
VND-0007015,2024-01-06T17:38:02,CLI-00061,PROD-0045,App Mobile,1,445.6
VND-0011237,2024-01-06T17:53:45,CLI-00124,PROD-0069,Site,1,95.5
VND-0004587,2024-01-06T18:14:16,CLI-00068,PROD-0035,App Mobile,1,686.14
VND-0008559,2024-01-06T18:25:06,CLI-00199,PROD-0013,App Mobile,1,4448.94
VND-0001006,2024-01-06T18:27:43,CLI-00096,PROD-0037,Midia Paga,3,1036.19
VND-0013077,2024-01-06T18:34:31,CLI-00061,PROD-0024,Midia Paga,1,399.33
VND-0014948,2024-01-06T18:35:50,CLI-00373,PROD-0077,Marketplace,1,186.62
VND-0004375,2024-01-06T18:39:58,CLI-00022,PROD-0048,App Mobile,1,270.52
VND-0009679,2024-01-06T18:49:09,CLI-00053,PROD-0034,Email Marketing,2,362.47
VND-0014454,2024-01-06T19:06:38,CLI-00475,PROD-0011,Marketplace,2,4062.37
VND-0008472,2024-01-06T19:09:38,CLI-00027,PROD-0015,Site,1,2868.1
VND-0001051,2024-01-06T19:52:22,CLI-00079,PROD-0038,App Mobile,1,76.56
VND-0011267,2024-01-06T19:56:32,CLI-00060,PROD-0041,Site,3,224.88
VND-0009969,2024-01-06T20:04:08,CLI-00058,PROD-0018,App Mobile,1,5076.35
VND-0008722,2024-01-06T21:07:58,CLI-00031,PROD-0075,Site,2,297.26
VND-0008137,2024-01-06T21:12:48,CLI-00200,PROD-0008,App Mobile,2,1708.53
VND-0004443,2024-01-06T21:41:19,CLI-00056,PROD-0064,App Mobile,3,204.29
VND-0001342,2024-01-07T01:02:54,CLI-00270,PROD-0053,Marketplace,1,136.1
VND-0008662,2024-01-07T01:23:35,CLI-00112,PROD-0052,Marketplace,4,48.14
VND-0014425,2024-01-07T01:32:24,CLI-00060,PROD-0033,Midia Paga,1,423.23
VND-0003182,2024-01-07T03:51:31,CLI-00216,PROD-0025,Site,2,161.28
VND-0007300,2024-01-07T05:45:30,CLI-00043,PROD-0004,App Mobile,1,3297.91
VND-0000732,2024-01-07T07:10:41,CLI-00323,PROD-0069,Midia Paga,1,90.52
VND-0000227,2024-01-07T07:33:06,CLI-00446,PROD-0069,WhatsApp,1,99.02
VND-0004765,2024-01-07T08:08:33,CLI-00026,PROD-0056,Marketplace,1,25.29
VND-0001382,2024-01-07T08:38:17,CLI-00013,PROD-0048,Midia Paga,2,267.9
VND-0001196,2024-01-07T08:42:30,CLI-00024,PROD-0043,App Mobile,1,823.73
VND-0004536,2024-01-07T08:43:51,CLI-00063,PROD-0017,Site,1,2897.47
VND-0010256,2024-01-07T09:07:11,CLI-00018,PROD-0055,Loja Física,2,40.43
VND-0011211,2024-01-07T09:54:33,CLI-00008,PROD-0002,Midia Paga,1,4168.97
VND-0002416,2024-01-07T10:08:02,CLI-00459,PROD-0002,Marketplace,2,4538.61
VND-0000081,2024-01-07T10:15:02,CLI-00095,PROD-0066,WhatsApp,1,213.08
VND-0003008,2024-01-07T10:19:07,CLI-00079,PROD-0024,Marketplace,2,354.42
VND-0014169,2024-01-07T10:25:36,CLI-00020,PROD-0021,App Mobile,1,313.08
VND-0001059,2024-01-07T10:38:06,CLI-00307,PROD-0013,App Mobile,2,5072.84
VND-0009995,2024-01-07T10:43:42,CLI-00060,PROD-0009,Midia Paga,1,3302.31
VND-0011703,2024-01-07T11:08:07,CLI-00060,PROD-0059,Midia Paga,1,121.13
VND-0003978,2024-01-07T11:12:51,CLI-00018,PROD-0040,Midia Paga,1,265.93
VND-0003441,2024-01-07T11:29:01,CLI-00010,PROD-0034,Site,1,346.07
VND-0003844,2024-01-07T11:59:14,CLI-00066,PROD-0075,Site,2,279.17
VND-0013239,2024-01-07T12:50:47,CLI-00084,PROD-0042,Site,1,759.01
VND-0006383,2024-01-07T13:43:54,CLI-00361,PROD-0032,Midia Paga,1,976.8
VND-0009478,2024-01-07T14:26:48,CLI-00268,PROD-0014,App Mobile,1,4243.76
VND-0014923,2024-01-07T15:00:15,CLI-00338,PROD-0022,Midia Paga,3,132.07
VND-0007440,2024-01-07T15:13:19,CLI-00021,PROD-0032,Email Marketing,2,944.63
VND-0002204,2024-01-07T15:33:06,CLI-00351,PROD-0021,App Mobile,2,325.58
VND-0008908,2024-01-07T15:42:42,CLI-00042,PROD-0029,Loja Física,1,595.0
VND-0000440,2024-01-07T16:29:31,CLI-00017,PROD-0026,Marketplace,1,130.93
VND-0003044,2024-01-07T17:09:25,CLI-00422,PROD-0003,Midia Paga,1,1860.52
VND-0002449,2024-01-07T17:29:55,CLI-00058,PROD-0024,Email Marketing,1,325.74
VND-0007922,2024-01-07T17:32:32,CLI-00049,PROD-0070,Midia Paga,1,193.25
VND-0000569,2024-01-07T17:44:46,CLI-00151,PROD-0058,App Mobile,1,25.79
VND-0013635,2024-01-07T17:47:54,CLI-00029,PROD-0017,Midia Paga,2,2799.79
VND-0010440,2024-01-07T17:51:46,CLI-00480,PROD-0057,Marketplace,2,117.58
VND-0014475,2024-01-07T18:31:25,CLI-00088,PROD-0052,App Mobile,4,47.76
VND-0013616,2024-01-07T18:32:43,CLI-00272,PROD-0032,Midia Paga,1,855.91
VND-0011623,2024-01-07T19:17:22,CLI-00039,PROD-0071,Site,1,30.38
VND-0008748,2024-01-07T19:35:13,CLI-00314,PROD-0021,Midia Paga,1,292.97
VND-0002716,2024-01-07T19:39:58,CLI-00033,PROD-0013,App Mobile,3,4371.64
VND-0006264,2024-01-07T20:09:32,CLI-00093,PROD-0061,Midia Paga,1,69.93
VND-0010111,2024-01-07T20:12:20,CLI-00046,PROD-0020,Redes Sociais,1,7359.82
VND-0007153,2024-01-07T20:17:51,CLI-00010,PROD-0064,Midia Paga,1,220.25
VND-0005134,2024-01-07T20:27:26,CLI-00007,PROD-0010,Site,1,4130.96
VND-0007785,2024-01-07T20:53:44,CLI-00257,PROD-0002,Email Marketing,1,3689.79
VND-0000145,2024-01-07T21:50:44,CLI-00071,PROD-0042,Midia Paga,3,813.61
VND-0007231,2024-01-08T01:02:08,CLI-00004,PROD-0075,Midia Paga,1,290.87
VND-0004961,2024-01-08T01:29:44,CLI-00182,PROD-0016,Marketplace,1,3005.76
VND-0003234,2024-01-08T01:31:51,CLI-00053,PROD-0022,Email Marketing,2,123.08
